    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
  180   100.0%  35.3  0.00032   0.00368   0.25   0.001383    0.138%
  181   100.0%  35.4  0.00032   0.00376   0.25   0.001396    0.140%
  182   100.0%  35.5  0.00032   0.00332   0.26   0.001407    0.141%
  183   100.0%  35.6  0.00025    0.0033   0.26   0.001417    0.142%
  184   100.0%  35.5  0.00025   0.00372   0.26   0.001429    0.143%
  185   100.0%  35.1  0.00032   0.00442   0.27   0.001446    0.145%
  186   100.0%  35.0  0.00032   0.00456   0.27   0.001462    0.146%
  187   100.0%  34.8  0.00032   0.00502   0.28   0.001481    0.148%
  188   100.0%  34.8  0.00032   0.00455   0.28   0.001498    0.150%
  189   100.0%  34.6  0.00032   0.00518   0.29   0.001517    0.152%
  190   100.0%  35.0  0.00032   0.00422   0.29   0.001531    0.153%
  191   100.0%  35.3  0.00032   0.00392   0.29   0.001544    0.154%
  192   100.0%  35.2  0.00032   0.00431   0.30   0.001558    0.156%
  193   100.0%  34.6  0.00032   0.00549   0.30   0.001579    0.158%
  194   100.0%  35.0  0.00032   0.00469   0.31   0.001595    0.159%
  195   100.0%  34.3   0.0004   0.00614   0.32   0.001618    0.162%
  196   100.0%  33.9   0.0004   0.00703   0.32   0.001646    0.165%
  197   100.0%  32.6   0.0005   0.00717   0.33   0.001674    0.167%
  198   100.0%  34.4   0.0004   0.00576   0.34   0.001694    0.169%
  199   100.0%  34.5   0.0004   0.00549   0.34   0.001713    0.171%
  200   100.0%  34.5  0.00032   0.00559   0.35   0.001733    0.173%
  201   100.0%  34.3   0.0004   0.00597   0.35   0.001754    0.175%
  202   100.0%  34.7  0.00032   0.00458   0.36   0.001768    0.177%
  203   100.0%  34.3   0.0004   0.00571   0.36   0.001787    0.179%
  204   100.0%  34.3   0.0004   0.00544   0.37   0.001805    0.181%
  205   100.0%  34.4   0.0004   0.00586   0.37   0.001825    0.182%
  206   100.0%  33.0   0.0005    0.0079   0.38   0.001854    0.185%
  207   100.0%  32.3  0.00063   0.00868   0.39   0.001887    0.189%
  208   100.0%  33.0   0.0005   0.00856   0.40   0.001920    0.192%
  209   100.0%  34.2   0.0004   0.00551   0.40   0.001937    0.194%
  210   100.0%  33.9   0.0004    0.0061   0.41   0.001957    0.196%
  211   100.0%  33.3   0.0005   0.00751   0.42   0.001983    0.198%
  212   100.0%  34.3   0.0004   0.00493   0.42   0.001997    0.200%
  213   100.0%  34.3   0.0004   0.00622   0.43   0.002017    0.202%
  214   100.0%  34.5   0.0004   0.00532   0.43   0.002032    0.203%
  215   100.0%  34.1   0.0004   0.00652   0.44   0.002053    0.205%
  216   100.0%  34.2   0.0004    0.0059   0.45   0.002071    0.207%
  217   100.0%  33.6   0.0004   0.00804   0.46   0.002098    0.210%
  218   100.0%  33.5   0.0004   0.00718   0.46   0.002121    0.212%
  219   100.0%  33.3   0.0005   0.00764   0.47   0.002147    0.215%
  220   100.0%  33.6   0.0004   0.00679   0.48   0.002168    0.217%
  221   100.0%  33.6   0.0004   0.00711   0.48   0.002190    0.219%
  222   100.0%  33.4   0.0005   0.00726   0.49   0.002213    0.221%
  223   100.0%  31.9  0.00063    0.0114   0.50   0.002254    0.225%
  224   100.0%  32.5   0.0005    0.0107   0.51   0.002292    0.229%
  225   100.0%  33.4   0.0005   0.00791   0.52   0.002317    0.232%
  226   100.0%  32.4  0.00063    0.0104   0.53   0.002353    0.235%
  227   100.0%  31.6  0.00063     0.012   0.54   0.002395    0.240%
  228   100.0%  32.6   0.0005   0.00877   0.55   0.002423    0.242%
  229   100.0%  32.2  0.00063    0.0104   0.56   0.002458    0.246%
  230   100.0%  28.9   0.0013    0.0188   0.58   0.002529    0.253%
  231   100.0%  32.1  0.00063   0.00985   0.59   0.002561    0.256%
  232   100.0%  32.4  0.00063   0.00982   0.60   0.002592    0.259%
  233   100.0%  33.0   0.0005   0.00849   0.61   0.002617    0.262%
  234   100.0%  33.1   0.0005   0.00835   0.62   0.002642    0.264%
  235   100.0%  28.5   0.0013    0.0176   0.64   0.002706    0.271%
  236   100.0%  32.5  0.00063   0.00903   0.64   0.002732    0.273%
  237   100.0%  31.8  0.00063    0.0119   0.66   0.002771    0.277%
  238   100.0%  28.3   0.0016    0.0203   0.68   0.002845    0.284%
  239   100.0%  31.2  0.00079    0.0139   0.69   0.002891    0.289%
  240   100.0%  26.5   0.0025    0.0246   0.72   0.002982    0.298%
  241   100.0%  29.2   0.0013    0.0167   0.73   0.003039    0.304%
  242   100.0%  31.2  0.00079    0.0113   0.74   0.003073    0.307%
  243   100.0%  31.4  0.00079    0.0114   0.76   0.003107    0.311%
  244   100.0%  32.4  0.00063   0.00913   0.76   0.003132    0.313%
  245   100.0%  31.9  0.00063    0.0119   0.78   0.003168    0.317%
  246   100.0%  29.1   0.0013    0.0172   0.79   0.003225    0.322%
  247   100.0%  31.0  0.00079    0.0143   0.81   0.003270    0.327%
