    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
  144   100.0%  31.8  0.00063   0.00941   0.50   0.003473    0.347%
  145   100.0%  32.8   0.0005   0.00706   0.51   0.003498    0.350%
  146   100.0%  31.6  0.00063   0.00958   0.52   0.003540    0.354%
  147   100.0%  31.9  0.00063   0.00922   0.53   0.003578    0.358%
  148   100.0%  32.2  0.00063   0.00907   0.54   0.003615    0.362%
  149   100.0%  32.8   0.0005    0.0076   0.54   0.003642    0.364%
  150   100.0%  32.4  0.00063   0.00995   0.55   0.003684    0.368%
  151   100.0%  32.4  0.00063   0.00915   0.56   0.003720    0.372%
  152   100.0%  32.3  0.00063    0.0101   0.57   0.003762    0.376%
  153   100.0%  32.2  0.00063    0.0097   0.58   0.003801    0.380%
  154   100.0%  28.4   0.0016    0.0181   0.60   0.003894    0.389%
  155   100.0%  28.5   0.0013    0.0193   0.62   0.003993    0.399%
  156   100.0%  31.0  0.00079    0.0126   0.63   0.004049    0.405%
  157   100.0%  30.1    0.001    0.0148   0.65   0.004117    0.412%
  158   100.0%  29.7    0.001    0.0169   0.66   0.004198    0.420%
  159   100.0%  31.8  0.00063   0.00967   0.67   0.004232    0.423%
  160   100.0%  32.0  0.00063    0.0096   0.68   0.004266    0.427%
  161   100.0%  30.8  0.00079    0.0122   0.69   0.004315    0.431%
  162   100.0%  32.0  0.00063      0.01   0.70   0.004350    0.435%
  163   100.0%  32.0  0.00063   0.00961   0.71   0.004382    0.438%
  164   100.0%  30.5    0.001     0.013   0.73   0.004435    0.443%
  165   100.0%  31.0  0.00079    0.0123   0.74   0.004482    0.448%
  166   100.0%  30.4    0.001    0.0145   0.75   0.004542    0.454%
  167   100.0%  28.7   0.0013    0.0183   0.77   0.004624    0.462%
  168   100.0%  27.8   0.0016    0.0219   0.79   0.004727    0.473%
  169   100.0%  28.9   0.0013    0.0165   0.81   0.004797    0.480%
  170   100.0%  28.7   0.0013     0.016   0.83   0.004862    0.486%
  171   100.0%  29.7    0.001    0.0147   0.84   0.004920    0.492%
  172   100.0%  30.0    0.001    0.0124   0.85   0.004963    0.496%
  173   100.0%  31.1  0.00079     0.012   0.87   0.005004    0.500%
  174   100.0%  31.3  0.00079    0.0112   0.88   0.005039    0.504%
  175   100.0%  32.0  0.00063    0.0103   0.89   0.005070    0.507%
  176   100.0%  31.0  0.00079     0.012   0.90   0.005109    0.511%
  177   100.0%  25.0   0.0032    0.0321   0.93   0.005261    0.526%
  178   100.0%  26.0   0.0025    0.0264   0.96   0.005380    0.538%
  179   100.0%  24.7   0.0032    0.0351   0.99   0.005546    0.555%
  180   100.0%  28.5   0.0016    0.0196   1.01   0.005624    0.562%
  181   100.0%  28.0   0.0016    0.0201   1.03   0.005704    0.570%
