    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
  108   100.0%  32.9   0.0005   0.00902   0.53   0.004864    0.486%
  109   100.0%  32.9   0.0005   0.00932   0.53   0.004905    0.491%
  110   100.0%  33.0   0.0005   0.00897   0.54   0.004942    0.494%
  111   100.0%  33.1   0.0005   0.00877   0.55   0.004976    0.498%
  112   100.0%  32.6   0.0005    0.0101   0.56   0.005022    0.502%
  113   100.0%  32.8   0.0005   0.00944   0.57   0.005061    0.506%
  114   100.0%  32.9   0.0005   0.00914   0.58   0.005097    0.510%
  115   100.0%  32.5   0.0005    0.0101   0.59   0.005140    0.514%
  116   100.0%  32.9   0.0005   0.00872   0.60   0.005171    0.517%
  117   100.0%  32.7   0.0005   0.00914   0.61   0.005205    0.521%
  118   100.0%  32.0  0.00063    0.0101   0.62   0.005247    0.525%
  119   100.0%  32.5  0.00063   0.00943   0.63   0.005282    0.528%
  120   100.0%  32.4  0.00063    0.0101   0.64   0.005322    0.532%
  121   100.0%  32.9   0.0005   0.00874   0.65   0.005350    0.535%
  122   100.0%  32.7   0.0005   0.00947   0.66   0.005384    0.538%
  123   100.0%  32.6   0.0005   0.00962   0.67   0.005419    0.542%
  124   100.0%  32.4  0.00063   0.00985   0.68   0.005454    0.545%
  125   100.0%  32.8   0.0005   0.00918   0.69   0.005484    0.548%
  126   100.0%  31.1  0.00079    0.0128   0.70   0.005542    0.554%
  127   100.0%  31.7  0.00063     0.011   0.71   0.005585    0.559%
  128   100.0%  31.3  0.00079    0.0127   0.72   0.005641    0.564%
  129   100.0%  31.5  0.00063     0.011   0.73   0.005683    0.568%
  130   100.0%  31.7  0.00063    0.0117   0.74   0.005729    0.573%
  131   100.0%  31.7  0.00063    0.0107   0.76   0.005767    0.577%
  132   100.0%  31.6  0.00063    0.0118   0.77   0.005813    0.581%
  133   100.0%  31.2  0.00079    0.0118   0.78   0.005858    0.586%
  134   100.0%  31.3  0.00079    0.0122   0.79   0.005905    0.590%
  135   100.0%  31.6  0.00063    0.0109   0.80   0.005942    0.594%
  136   100.0%  31.7  0.00063    0.0109   0.81   0.005978    0.598%
  137   100.0%  31.6  0.00063    0.0117   0.82   0.006020    0.602%
  138   100.0%  31.3  0.00079    0.0122   0.84   0.006065    0.607%
