    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
  283   100.0%  17.6    0.016    0.0633   4.67   0.016517    1.652%
  284   100.0%  18.1    0.016      0.06   4.73   0.016670    1.667%
  285   100.0%  16.1    0.025     0.075   4.81   0.016874    1.687%
  286   100.0%  15.9    0.025    0.0761   4.89   0.017081    1.708%
  287   100.0%  15.9    0.025    0.0771   4.96   0.017290    1.729%
  288   100.0%  16.2    0.025    0.0748   5.04   0.017490    1.749%
  289   100.0%  17.7    0.016    0.0625   5.10   0.017646    1.765%
  290   100.0%  17.6    0.016    0.0627   5.16   0.017801    1.780%
  291   100.0%  19.3    0.013    0.0478   5.21   0.017904    1.790%
  292   100.0%  19.2    0.013    0.0487   5.26   0.018010    1.801%
  293   100.0%  19.1    0.013    0.0504   5.31   0.018120    1.812%
  294   100.0%  14.9    0.032    0.0827   5.39   0.018340    1.834%
  295   100.0%  15.1    0.032    0.0819   5.47   0.018555    1.856%
  296   100.0%  15.2    0.032    0.0817   5.56   0.018769    1.877%
  297   100.0%  16.0    0.025    0.0738   5.63   0.018954    1.895%
  298   100.0%  15.6    0.025    0.0773   5.71   0.019150    1.915%
  299   100.0%  14.9    0.032    0.0824   5.79   0.019361    1.936%
  300   100.0%  14.9    0.032     0.083   5.87   0.019573    1.957%
  301   100.0%  11.6    0.063      0.11   5.98   0.019872    1.987%

    L   1.0000   0.5000   0.2500   0.1000   1.0000   0.5000   0.2500   0.1000
-----  -------  -------  -------  -------  -------  -------  -------  -------
  302     2030      688      229       48    6.33%    2.15%    0.71%    0.15%
  301     2316      852      340       82    7.23%    2.66%    1.06%    0.26%
  300     2433      908      354       87    7.59%    2.83%    1.10%    0.27%
  299     2559      956      368       96    7.98%    2.98%    1.15%    0.30%
  298     2690     1000      390      103    8.39%    3.12%    1.22%    0.32%
  297     2797     1040      412      112    8.73%    3.25%    1.29%    0.35%
  296     2953     1106      444      121    9.21%    3.45%    1.39%    0.38%
  295     3097     1164      475      134    9.66%    3.63%    1.48%    0.42%
  294     3263     1240      510      147   10.18%    3.87%    1.59%    0.46%
  293     3355     1289      531      153   10.47%    4.02%    1.66%    0.48%
  292     3462     1341      555      158   10.80%    4.18%    1.73%    0.49%
  291     3570     1399      592      170   11.14%    4.37%    1.85%    0.53%
  290     3701     1453      618      179   11.55%    4.53%    1.93%    0.56%
  289     3822     1525      647      187   11.93%    4.76%    2.02%    0.58%
  288     4001     1595      678      203   12.48%    4.98%    2.12%    0.63%
  287     4195     1689      715      225   13.09%    5.27%    2.23%    0.70%
  286     4414     1807      759      240   13.77%    5.64%    2.37%    0.75%
  285     4641     1929      815      266   14.48%    6.02%    2.54%    0.83%
  284     4804     2017      858      284   14.99%    6.29%    2.68%    0.89%
  283     5007     2133      893      302   15.62%    6.66%    2.79%    0.94%
  282     5256     2282      977      331   16.40%    7.12%    3.05%    1.03%
  281     5494     2423     1048      358   17.14%    7.56%    3.27%    1.12%
  280     5695     2515     1109      374   17.77%    7.85%    3.46%    1.17%
  279     5843     2602     1148      389   18.23%    8.12%    3.58%    1.21%
  278     6007     2703     1210      416   18.74%    8.43%    3.78%    1.30%
  277     6149     2820     1255      434   19.19%    8.80%    3.92%    1.35%
  276     6401     2972     1328      474   19.97%    9.27%    4.14%    1.48%
  275     6590     3095     1389      508   20.56%    9.66%    4.33%    1.59%
  274     6807     3231     1451      542   21.24%   10.08%    4.53%    1.69%
  273     7068     3382     1541      587   22.05%   10.55%    4.81%    1.83%
  272     7327     3546     1641      647   22.86%   11.06%    5.12%    2.02%
  271     7601     3726     1769      711   23.72%   11.63%    5.52%    2.22%
  270     7857     3928     1867      771   24.52%   12.26%    5.83%    2.41%
  269     8096     4144     1996      858   25.26%   12.93%    6.23%    2.68%
  268     8330     4327     2133      906   25.99%   13.50%    6.66%    2.83%
  267     8508     4484     2253      965   26.55%   13.99%    7.03%    3.01%
  266     8668     4621     2338     1018   27.05%   14.42%    7.30%    3.18%
  265     8800     4731     2395     1044   27.46%   14.76%    7.47%    3.26%
  264     8968     4856     2468     1100   27.98%   15.15%    7.70%    3.43%
  263     9166     5055     2556     1177   28.60%   15.77%    7.98%    3.67%
  262     9392     5253     2694     1246   29.31%   16.39%    8.41%    3.89%
  261     9577     5397     2784     1297   29.88%   16.84%    8.69%    4.05%
  260     9772     5545     2890     1352   30.49%   17.30%    9.02%    4.22%
  259    10055     5770     3065     1444   31.37%   18.00%    9.56%    4.51%
  258    10236     5886     3147     1492   31.94%   18.37%    9.82%    4.66%
  257    10394     6026     3234     1539   32.43%   18.80%   10.09%    4.80%
  256    10551     6196     3335     1584   32.92%   19.33%   10.41%    4.94%
  255    10689     6311     3404     1639   33.35%   19.69%   10.62%    5.11%
  254    10854     6443     3478     1693   33.87%   20.10%   10.85%    5.28%
  253    11109     6630     3649     1767   34.66%   20.69%   11.39%    5.51%
  252    11302     6787     3750     1823   35.26%   21.18%   11.70%    5.69%
  251    11454     6944     3862     1882   35.74%   21.67%   12.05%    5.87%
  250    11644     7087     3956     1948   36.33%   22.11%   12.34%    6.08%
  249    11879     7281     4137     2059   37.07%   22.72%   12.91%    6.42%
  248    12136     7565     4349     2201   37.87%   23.60%   13.57%    6.87%
  247    12350     7776     4524     2300   38.53%   24.26%   14.12%    7.18%
  246    12502     7923     4642     2360   39.01%   24.72%   14.48%    7.36%
  245    12635     8062     4789     2435   39.42%   25.16%   14.94%    7.60%
  244    12775     8209     4912     2502   39.86%   25.61%   15.33%    7.81%
  243    12921     8364     5010     2574   40.32%   26.10%   15.63%    8.03%
